Accession;Platform;Total bases;SRA filename;FastQ URL;FastQ filename;Submitter_id;;Metadata_name
ERR4129784;NextSeq 550;4740;ERR4129784.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129784/ERR4129784.fastq.gz;ERR4129784.fastq.gz;59_H;Healthy;KGCF19
ERR4129785;NextSeq 550;20887;ERR4129785.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129785/ERR4129785.fastq.gz;ERR4129785.fastq.gz;60_H;Healthy;KGCF21
ERR4129786;NextSeq 550;13462;ERR4129786.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129786/ERR4129786.fastq.gz;ERR4129786.fastq.gz;61_H;Healthy;KGCF22
ERR4129787;NextSeq 550;21775;ERR4129787.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129787/ERR4129787.fastq.gz;ERR4129787.fastq.gz;62_H;Healthy;KGCF24
ERR4129788;NextSeq 550;18923;ERR4129788.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129788/ERR4129788.fastq.gz;ERR4129788.fastq.gz;63_H;Healthy;KGCF25
ERR4129789;NextSeq 550;49547;ERR4129789.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/009/ERR4129789/ERR4129789.fastq.gz;ERR4129789.fastq.gz;64_H;Healthy;KGCF26
ERR4129790;NextSeq 550;27735;ERR4129790.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129790/ERR4129790.fastq.gz;ERR4129790.fastq.gz;65_H;Healthy;KGCF27
ERR4129791;NextSeq 550;38161;ERR4129791.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129791/ERR4129791.fastq.gz;ERR4129791.fastq.gz;66_H;Healthy;KGCF28
ERR4129792;NextSeq 550;18087;ERR4129792.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129792/ERR4129792.fastq.gz;ERR4129792.fastq.gz;67_H;Healthy;KGCF29
ERR4129793;NextSeq 550;6293;ERR4129793.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129793/ERR4129793.fastq.gz;ERR4129793.fastq.gz;68_H;Healthy;KGCF30
